game	놀이
garage	차고
garden	정원
gas	기체
gate	문
gather	모으다
gentle	온화한
gift	선물
giraffe	기린
girl	소녀
give	주다
glad	기쁜
glass	유리
glove	장갑
glue	풀
goal	목표
goat	염소
gold	금
good	좋은
goose	거위
grade	등급
grain	곡물
grandmother	할머니
grape	포도
grass	풀
gray	회색의
great	위대한
green	초록의
greet	인사하다
ground	땅
group	무리
grow	자라다
guard	지키다
guess	추측하다
guest	손님
guide	안내하다
guitar	기타
gun	총
habit	습관
hair	머리카락
half	절반
hall	복도
hammer	망치
hand	손
handsome	잘생긴
hang	걸다
happen	일어나다
happy	행복한
harbor	항구
hard	단단한
harvest	수확
hat	모자
hate	미워하다
head	머리
health	건강
hear	듣다
heart	심장
heat	열
heavy	무거운
heel	발꿈치
height	높이
help	돕다
hen	암탉
hero	영웅
hide	숨다
high	높은
hill	언덕
history	역사
hit	치다
hobby	취미
hold	잡다
hole	구멍
holiday	휴일
home	집
honest	정직한
honey	꿀
hope	희망
horse	말
hospital	병원
hot	뜨거운
hotel	호텔
hour	시간
house	집
however	그러나
huge	거대한
human	인간
hundred	백
hungry	배고픈
hunt	사냥하다
hurry	서두르다
hurt	다치게 하다
husband	남편
ice	얼음
idea	생각
important	중요한
improve	나아지다
include	포함하다
increase	늘리다
indeed	정말로
industry	산업
information	정보
injure	다치게 하다
ink	잉크
insect	곤충
inside	안쪽
instead	대신에
interest	흥미
introduce	소개하다
invent	발명하다
invite	초대하다
iron	철
island	섬
jacket	재킷
jail	감옥
jam	잼
jar	병
jaw	턱
jazz	재즈
jealous	질투하는
jeans	청바지
jelly	젤리
jewel	보석
job	일
join	합치다
joke	농담
journey	여행
joy	기쁨
judge	판사
juice	주스
jump	뛰다
jungle	정글
junior	손아래의
just	단지
keep	지키다
kettle	주전자
key	열쇠
kick	차다
kill	죽이다
kind	친절한
king	왕
kiss	입맞춤
kitchen	부엌
kite	연
knee	무릎
knife	칼
knock	두드리다
knot	매듭
know	알다
lack	부족
ladder	사다리
lady	숙녀
lake	호수
lamb	새끼 양
lamp	등불
land	땅
language	언어
large	큰
last	마지막의
late	늦은
laugh	웃다
law	법
lazy	게으른
lead	이끌다
leaf	잎
learn	배우다
leather	가죽
leave	떠나다
left	왼쪽
leg	다리
lemon	레몬
lend	빌려주다
length	길이
lesson	수업
letter	편지
level	수준
library	도서관
lie	거짓말
life	삶
lift	들어올리다
light	빛
like	좋아하다
limit	한계
line	줄
lion	사자
lip	입술
liquid	액체
list	목록
listen	듣다
little	작은
live	살다
load	짐
local	지역의
lock	잠그다
lonely	외로운
long	긴
look	보다
lose	잃다
loud	시끄러운
love	사랑
low	낮은
luck	운
lunch	점심
lung	폐
machine	기계
mad	미친
magazine	잡지
magic	마술
mail	우편
main	주된
make	만들다
man	남자
manage	다루다
many	많은
map	지도
march	행진하다
mark	표시
market	시장
marry	결혼하다
match	성냥
material	재료
matter	문제
maybe	아마도
meal	식사
mean	의미하다
measure	재다
meat	고기
medicine	약
meet	만나다
melon	멜론
melt	녹다
member	회원
memory	기억
mend	고치다
message	소식
metal	금속
method	방법
middle	가운데
midnight	자정
mild	온화한
milk	우유
mind	마음
mine	나의 것
minute	분
mirror	거울
miss	그리워하다
mistake	실수
mix	섞다
model	모형
modern	현대의
moment	순간
money	돈
monkey	원숭이
month	달
moon	달
morning	아침
mosquito	모기
mother	어머니
motor	발동기
mountain	산
mouse	쥐
mouth	입
move	움직이다
movie	영화
much	많은
mud	진흙
museum	박물관
mushroom	버섯
music	음악
must	해야 한다
nail	못
name	이름
narrow	좁은
nation	나라
nature	자연
near	가까운
neat	깔끔한
neck	목
need	필요하다
needle	바늘
neighbor	이웃
nephew	조카
nest	둥지
net	그물
never	결코
new	새로운
news	소식
newspaper	신문
next	다음의
nice	좋은
niece	조카딸
night	밤
nine	아홉
noble	고귀한
noise	소음
none	아무도
noodle	국수
noon	정오
north	북쪽
nose	코
note	쪽지
nothing	아무것도
notice	알아차리다
novel	소설
now	지금
number	숫자
nurse	간호사
nut	견과
obey	따르다
object	물건
ocean	바다
offer	제안하다
office	사무실
often	자주
oil	기름
old	늙은
olive	올리브
once	한 번
onion	양파
only	오직
open	열다
opinion	의견
orange	오렌지
order	주문하다
ordinary	평범한
other	다른
ought	해야 한다
ours	우리 것
outside	바깥
oven	오븐
over	위에
owe	빚지다
owl	올빼미
own	소유하다
ox	황소
oxygen	산소
oyster	굴
