zoom	확대하다
zigzag	지그재그
zeal	열의
zenith	절정
zodiac	황도대
zombie	좀비
zoology	동물학
xebec	세돛 범선
yelp	깽깽거리다
yonder	저쪽의
youngster	젊은이
yourself	너 자신
yeoman	자작농
yardstick	잣대
yearbook	졸업 앨범
kangaroo	캥거루
keen	예리한
kennel	개집
kernel	알맹이
kidney	콩팥
kingdom	왕국
kiwi	키위
knight	기사
knowledge	지식
koala	코알라
kindergarten	유치원
kidnap	납치하다
ketchup	케첩
umpire	심판
unable	할 수 없는
uncover	밝히다
unfair	불공평한
unhappy	불행한
unite	연합하다
unknown	알려지지 않은
unless	~하지 않으면
unusual	평범하지 않은
upstairs	위층
urban	도시의
urgent	긴급한
useless	쓸모없는
upward	위쪽으로
utensil	기구
vacuum	진공
vain	헛된
valid	유효한
vanish	사라지다
variety	다양성
vast	광대한
veil	너울
velvet	벨벳
verb	동사
vest	조끼
victim	피해자
violet	제비꽃
virus	바이러스
visible	보이는
vision	시력
visitor	방문객
vivid	생생한
volume	부피
ideal	이상적인
idle	게으른
image	모습
imagine	상상하다
imitate	흉내내다
immediate	즉각적인
impossible	불가능한
income	소득
indoor	실내의
infant	유아
inform	알리다
injury	부상
insist	고집하다
instant	즉시의
instrument	악기
intelligent	똑똑한
intend	의도하다
interview	면접
invitation	초대장
involve	포함하다
item	항목
itself	그 자체
quest	탐구
quiver	떨다
quote	인용하다
qualify	자격을 갖추다
quaint	고풍스러운
quench	갈증을 풀다
