pack	싸다
page	쪽
pain	고통
paint	칠하다
pair	한 쌍
palace	궁전
pale	창백한
palm	손바닥
pan	냄비
paper	종이
parent	부모
park	공원
parrot	앵무새
part	부분
partner	동반자
party	잔치
pass	지나가다
passenger	승객
past	과거
path	길
patient	참을성 있는
pattern	무늬
pay	지불하다
peace	평화
peach	복숭아
pear	배
pearl	진주
pen	펜
pencil	연필
people	사람들
pepper	후추
perfect	완벽한
perhaps	아마도
period	기간
person	사람
pet	애완동물
photograph	사진
piano	피아노
pick	고르다
picnic	소풍
picture	그림
pie	파이
piece	조각
pig	돼지
pigeon	비둘기
pile	더미
pillow	베개
pilot	조종사
pin	핀
pine	소나무
pink	분홍의
pipe	관
place	장소
plain	평범한
plan	계획
plane	비행기
plant	식물
plastic	플라스틱
plate	접시
play	놀다
pleasant	즐거운
please	기쁘게 하다
plenty	풍부함
pocket	주머니
poem	시
point	점
poison	독
police	경찰
polite	예의 바른
pond	연못
pool	웅덩이
poor	가난한
popular	인기 있는
port	항구
possible	가능한
post	우편
pot	냄비
potato	감자
pour	붓다
powder	가루
power	힘
practice	연습
praise	칭찬하다
pray	기도하다
prepare	준비하다
present	선물
president	대통령
press	누르다
pretty	예쁜
prevent	막다
price	값
pride	자부심
prince	왕자
print	인쇄하다
prison	감옥
prize	상
problem	문제
produce	생산하다
promise	약속
protect	보호하다
proud	자랑스러운
prove	증명하다
public	공공의
pull	당기다
pump	펌프
punish	벌하다
pupil	학생
puppy	강아지
pure	순수한
purple	보라색의
purpose	목적
purse	지갑
push	밀다
puzzle	수수께끼
quality	품질
quantity	양
quarrel	다투다
quarter	사분의 일
queen	여왕
question	질문
queue	줄
quick	빠른
quiet	조용한
quit	그만두다
quite	꽤
quiz	쪽지 시험
rabbit	토끼
race	경주
radio	라디오
rail	철로
rain	비
rainbow	무지개
raise	올리다
rat	쥐
reach	닿다
read	읽다
ready	준비된
real	진짜의
reason	이유
receive	받다
record	기록
red	빨간
refuse	거절하다
remember	기억하다
