able	할 수 있는
about	~에 대하여
above	~위에
accept	받아들이다
accident	사고
ache	아프다
across	가로질러
act	행동하다
actor	배우
add	더하다
address	주소
adult	어른
advice	충고
afraid	두려운
after	~후에
afternoon	오후
again	다시
age	나이
agree	동의하다
air	공기
airplane	비행기
airport	공항
alarm	경보
album	앨범
alive	살아 있는
allow	허락하다
almost	거의
alone	혼자
along	~을 따라
alphabet	알파벳
already	이미
also	또한
always	항상
ambulance	구급차
among	~사이에
ancient	고대의
angel	천사
anger	분노
angle	각도
angry	화난
animal	동물
ankle	발목
announce	알리다
answer	대답
ant	개미
apart	떨어져
apartment	아파트
apologize	사과하다
appear	나타나다
appetite	식욕
apple	사과
apply	지원하다
area	지역
arm	팔
army	군대
around	주위에
arrive	도착하다
arrow	화살
art	예술
artist	예술가
ask	묻다
asleep	잠든
assist	돕다
attack	공격하다
attend	참석하다
attention	주의
audience	청중
aunt	이모
author	작가
autumn	가을
avenue	대로
average	평균
avoid	피하다
awake	깨어 있는
award	상
aware	알고 있는
away	떨어져
baby	아기
back	등
bag	가방
bake	굽다
ball	공
balloon	풍선
banana	바나나
band	악단
bank	은행
bark	짖다
basket	바구니
bath	목욕
beach	해변
bean	콩
bear	곰
beard	턱수염
beautiful	아름다운
because	왜냐하면
become	되다
bed	침대
bee	벌
beef	소고기
before	~전에
begin	시작하다
behind	뒤에
believe	믿다
bell	종
belong	속하다
below	아래에
belt	허리띠
bench	긴 의자
beside	옆에
between	사이에
bicycle	자전거
big	큰
bird	새
birthday	생일
bite	물다
bitter	쓴
black	검은
blanket	담요
blind	눈먼
block	막다
blood	피
blow	불다
blue	파란
board	판자
boat	배
body	몸
boil	끓이다
bone	뼈
book	책
boot	장화
border	국경
borrow	빌리다
bottle	병
bottom	바닥
bowl	그릇
box	상자
boy	소년
brain	뇌
branch	가지
brave	용감한
bread	빵
break	깨다
breakfast	아침 식사
breathe	숨쉬다
bridge	다리
bright	밝은
bring	가져오다
broom	빗자루
brother	형제
brown	갈색의
brush	솔
bubble	거품
bucket	양동이
build	짓다
burn	타다
bury	묻다
bus	버스
bush	덤불
busy	바쁜
butter	버터
button	단추
buy	사다
cabbage	양배추
cage	새장
cake	케이크
calendar	달력
call	부르다
calm	차분한
camel	낙타
camera	사진기
camp	야영하다
candle	양초
candy	사탕
cap	모자
captain	선장
car	자동차
card	카드
care	돌보다
carpet	양탄자
carrot	당근
carry	나르다
cart	수레
castle	성
cat	고양이
catch	잡다
cave	동굴
ceiling	천장
celebrate	축하하다
cell	세포
center	중심
century	세기
chain	사슬
chair	의자
chalk	분필
chance	기회
change	바꾸다
cheap	싼
cheek	뺨
cheese	치즈
chest	가슴
chicken	닭
child	아이
chin	턱
chocolate	초콜릿
choose	고르다
church	교회
circle	원
city	도시
clap	박수치다
class	수업
clean	깨끗한
clear	맑은
